NAME,FNAME,LNAME,EMAIL,PARTY,RSVP,COMMENTS
Josiah Jason,Josiah,Jason,Josiah@Jason.com,Jason-1,,
Rudy Ratcliff,Rudy,Ratcliff,Rudy@Ratcliff.com,Jason-1,,
Terrance Trosper,Terrance,Trosper,Terrance@Trosper.com,Jason-1,,
Phebe Pokorny,Phebe,Pokorny,Phebe@Pokorny.com,Jason-1,,
Allison Aranda,Allison,Aranda,Allison@Aranda.com,Aranda-1,,
Cleora Cienfuegos,Cleora,Cienfuegos,Cleora@Cienfuegos.com,Aranda-1,,
Yulanda Yetman,Yulanda,Yetman,Yulanda@Yetman.com,,,Yulanda is by herself and doesn't get a +1
Winfred Welte,Winfred,Welte,Winfred@Welte.com,Welte-1,,
,,,,Welte-1,,Winfred's +1
Vickey Vaughan,Vickey,Vaughan,Vickey@Vaughan.com,Vaughan-1,,Vickey is by herself and doesn't get a +1
Elwanda Edgar,Elwanda,Edgar,Elwanda@Edgar.com,Edgar-1,,The Edgars have a lot of kids (no email) and also a +1
Donovan Dooley,Donovan,Dooley,Donovan@Dooley.com,Edgar-1,,
,Whitney,Edgar,,Edgar-1,,
,Anika,Thames,,Edgar-1,,
,Rona,Callejas,,Edgar-1,,
,,,,Edgar-1,,
